93,35,91
12,28,94
50,6,98
45,55,70
62,86,44
17,10,18
55,80,66
82,85,94
1,37,99
4,14,49
13,2,6
16,73,29
66,84,20
37,30,100
60,86,51
16,81,24
51,1,44
79,44,48
34,39,64
96,46,19
18,24,82
84,75,87
4,57,31
99,47,78
76,97,13
61,73,25
89,32,59
70,11,55
2,34,84
75,36,80
93,98,2
8,9,52
7,93,92
24,16,98
4,18,54
55,83,41
93,37,71
89,31,15
74,16,52
82,32,90
9,23,14
16,78,95
62,99,79
46,92,51
89,44,82
10,54,80
49,42,76
69,19,95
39,26,48
25,71,45
37,32,1
88,32,42
21,34,64
76,5,51
17,67,45
47,14,79
10,27,97
9,39,18
98,39,47
32,57,68
54,31,47
43,3,85
87,61,95
21,53,77
64,85,21
96,39,76
36,47,17
57,92,97
60,53,57
28,3,12
13,21,83
57,91,88
7,13,11
84,42,66
32,59,73
38,72,13
20,67,54
14,7,68
72,45,76
30,20,10
5,34,45
27,93,89
30,14,98
3,39,66
1,72,49
26,2,12
94,31,98
12,52,82
45,88,39
76,79,55
22,65,94
36,44,62
14,37,82
61,43,74
31,21,5
21,71,58
19,78,43
62,49,34
17,68,85
21,42,84
